text	label	prediction
大家看下这是什么歌的歌词,或者它不是歌词?	是非类	事实类
123木头人有谁有它的歌词啊我想要他的`歌词	需求类	需求类
谁知道英文歌 I am is you 的歌词,	需求类	需求类
什么都不要对我说的歌词是什么?	需求类	事实类
有谁知道随心所欲的完整歌词?	需求类	需求类
谁有张栋梁的照片?给我几张?	需求类	需求类
张靓颖是哪的人	事实类	事实类
刘德华最近有什么新电影啊???	事实类	事实类
谁知道刘德华家在哪	事实类	事实类
小沈阳女儿叫什么 ?	事实类	事实类
哪些歌是罗志祥作的曲?	枚举类	枚举类
JAY的歌曲有多少首?	事实类	事实类
郑源现在有多少岁?	事实类	事实类
阿信的新歌哪个是广告曲?	事实类	事实类
周杰伦的mv哪个最浪漫?	推荐类	推荐类
五月天阿信出过什么书?	事实类	枚举类
什么样的明星才算是大牌的!	推荐类	评价类
谁有好听的慢摇歌曲,或者免费试听的网站?	需求类	推荐类
如何查找最新歌曲?	方法类	方法类
滨崎步的出道十年纪念专辑哩有哪些曲?	枚举类	枚举类
周杰伦几月份出新专辑?	事实类	事实类
jay几月份再出新专集?	事实类	事实类
王心凌《第一次爱得人》的歌词是什么?	需求类	需求类
VITAS的专辑`哪个见过哪有卖的!	需求类	需求类
在哪个网站下整张专辑会比较好	需求类	推荐类
谁有亲爱的,那不是爱情的歌词?	需求类	需求类
谁知道哪有新英雄本色{国语}的?	需求类	需求类
jay真正的帅吗??	评价类	评价类
谁能给我she“我爱你”的完整歌词	需求类	需求类
谁有NA NA 唱的 LONELY 歌词?	需求类	需求类
(爱你一次就想你一生)的歌词是什么	需求类	需求类
钢琴四级的曲目?	推荐类	枚举类
beyond是亚洲最有成就力的乐队吗?	评价类	评价类
《我说我爱你》这歌好听吗?	评价类	评价类
今年元旦深圳有什么演唱会?	枚举类	枚举类
周杰伦与王力宏谁更有实力?	评价类	评价类
哪个网站能K歌	需求类	推荐类
谁能告诉我王力宏的所有专辑	枚举类	枚举类
周董的什么电影最好看?	推荐类	推荐类
Rian和周董谁比较帅	评价类	评价类
谁知道周董的最新内容.	枚举类	描述类
谁有许巍老婆的照片?	需求类	需求类
最近谁的歌曲比较受人喜欢?	推荐类	推荐类
东方神起里有几个成员?	事实类	事实类
郑源出生在哪里?	事实类	事实类
she的芳龄是多少?	枚举类	事实类
在哪下说唱的伴奏!!	需求类	需求类
卓文萱吧在哪里?	事实类	事实类
哪里的孙燕姿的歌迷最多呢?	事实类	事实类
谁有深情点的歌给我几个	推荐类	推荐类
SJ-M 5只唱的《至少还有你》韩文版的歌词的罗马拼音~!?	需求类	事实类
谁能告诉我神话中的Eric到底多大了?	事实类	事实类
谁能给我vae新专辑《认错》的歌词?	需求类	需求类
我想学钢琴 ,大概多少钱一个月啊	事实类	事实类
谁有好的乐队开场曲	推荐类	推荐类
钢琴摆在家里的什么位置最合适?	推荐类	推荐类
哪里学小提琴比较便宜?	推荐类	推荐类
哪有较好的古典吉他独奏曲谱	推荐类	需求类
钢琴的级别多少?	事实类	事实类
请问:哪里学习钢琴价格比较实惠??	推荐类	推荐类
那里能找到伤感的歌曲?	推荐类	推荐类
怎么样才能听到好听的歌曲啊	方法类	方法类
陈楚生出了好几首新歌,是不是要出专辑了?	是非类	是非类
林俊杰他的女朋友叫什么名字?	事实类	事实类
唐禹哲《D新引力》里的新歌什么时候能听	事实类	事实类
只知道几局歌词不知道歌名怎么办?可怜我爱你那么多....你却忍心伤害我...	事实类	方法类
JJ还有多久出新专集?	事实类	事实类
我的QQ空间问题解决了,新问题又来了,QQ音乐也进不去了,唉!	原因类	原因类
在哪里能买到至上励合的图片	需求类	需求类
谁有不够成熟这首歌的歌词?	需求类	需求类
beyond和黄家驹哪个更出名	评价类	评价类
黄家驹几岁死了?	事实类	事实类
有谁知道刘德华这次的演唱会都在什么地方?	事实类	枚举类
林俊杰演唱会是那里举办的 ?	事实类	事实类
东方神气在南京演唱会 门票多少	事实类	事实类
谁知道王力宏成都演唱会网址	需求类	需求类
谁能告诉我东方神起的韩国网站	需求类	需求类
有谁能给我几张东方神起的图片	需求类	需求类
张杰有多帅?	评价类	评价类
《北京欢迎你》里面怎么没有刘德华?	原因类	原因类
请问大家认为刘德华帅在哪里?	评价类	评价类
周杰伦的歌HI 暴吗?	评价类	评价类
谁有一些飞轮海的图片啊?	需求类	需求类
哪里有卖林俊杰那种样子的格子衣服?	需求类	需求类
谁能给几个听蓝调的网站?	需求类	推荐类
有谁有早期的Beyond的专集!	需求类	需求类
许巍的哪一张专辑最好听	推荐类	推荐类
周杰伦和东方神起那个更出名?	评价类	评价类
东方神起五人分别多少岁?	枚举类	枚举类
谁知道 周星驰的 电话号??	事实类	事实类
有谁比JAY厉害	推荐类	推荐类
请问谁有超嗨的嗨曲..	推荐类	推荐类
棒棒堂除了上<模范棒棒堂>外还有上什么节目??	枚举类	枚举类
谁能给我周杰伦唱的青花瓷的歌词啊!	需求类	需求类
B WHAT U WANNA的歌词是什么	需求类	需求类
音乐是从哪来的啊?	事实类	事实类
JJ所有的歌 一共有多少	枚举类	事实类
艾薇儿有参加什么电影啊 ??	事实类	枚举类
最近孙燕姿有什么新的消息?	描述类	描述类
你们谁知道高耀太的生日?	事实类	事实类
求助《夜的第七章》中间有段jay唱的什么?	事实类	事实类
周杰伦的歌是不是最好听?	评价类	评价类
请问《一天一天》的钢琴谱有没有不是四手联弹的?	是非类	是非类
你可以把你那彩云追月的合唱谱给我吗?	需求类	需求类
sj-m现在在哪里?	事实类	事实类
东方神起和SJ谁更红	评价类	评价类
为什么现在好听的歌越来越少了呢?	原因类	原因类
林俊杰的出生日期,是多少?	事实类	事实类
好看的影视介绍?	推荐类	推荐类
RAIN和张佑赫水是舞王?	评价类	是非类
任贤齐和周杰伦谁帅	评价类	评价类
跨金演唱会有多少位歌手和多少位观众?	事实类	事实类
哪里能买到东方神起美国写真?	需求类	需求类
世界上有多少歌手?	事实类	事实类
Vae许嵩的《有何不可》歌词?	需求类	需求类
周杰伦唱歌的风格主要是什么?	事实类	描述类
Jay有多少难听的歌?	事实类	事实类
小齐最近有什么新专辑没有?	事实类	事实类
光良的出生地是哪国?	事实类	事实类
韩庚在韩国住在哪里?	事实类	事实类
大家都喜欢林俊杰的哪里?!	评价类	评价类
高耀太在韩国有多红?	评价类	评价类
bobo组合现在的人气多少???	事实类	事实类
有没有爱你爱到死的歌词??	需求类	需求类
张杰-明天过后-是他的第几张专辑?	事实类	事实类
张杰和谢娜各有多少岁?	枚举类	枚举类
2009春晚有什么值得期待的?	评价类	推荐类
2009年春节晚会谁最红	推荐类	推荐类
马天宇他多大了?	事实类	事实类
周杰伦的家住在哪	事实类	事实类
至上励合几时正式成立啊....	事实类	事实类
最难学的乐器是什么	推荐类	推荐类
有谁认识这种乐器?	事实类	描述类
有两年的时间,学什么民族乐器比较好?	推荐类	推荐类
世界上有多少名明星	事实类	事实类
各明星的qq是多少	枚举类	需求类
为什么现在的孩子这么喜欢周杰伦?	原因类	原因类
音乐可以分为几类	事实类	枚举类
Super Junior《幸福》是翻唱H.O.T的哪一首歌?	事实类	事实类
有一个五人组合,里面有一个是韩国人来的!请问那个组合叫什么名字?	事实类	事实类
《爱我的请过来》这首的中文歌词是什么?	需求类	需求类
我爱的人已经飞走了,爱我的人他还没有来到,是那首歌的歌词?	事实类	事实类
JAY多会再发专辑?	事实类	事实类
哪有卖正版专辑的?	需求类	需求类
张韶涵新专集怎么样???	评价类	评价类
我的专辑 什么才能上传```可以看的呢?	方法类	方法类
super junior-M的最新专辑是什么时候发行的?	事实类	事实类
唱<你是灰色的>的傅颖几岁了?	事实类	事实类
JAY的歌曲里你最喜欢那些???	推荐类	推荐类
哪个网站上有好听的轻音乐?	需求类	推荐类
谁有MJ30周年演唱会	需求类	需求类
哪有卖Rain的演唱会DVD/VCD?	需求类	需求类
谁找到得东方神起演唱会完整视频?	需求类	需求类
周杰伦的我不配和不能说的秘密哪首歌好听?	评价类	推荐类
最近与人和唱的新歌,韩红的?	推荐类	枚举类
beyond最辉煌的是哪几年	事实类	推荐类
《不能说的秘密》里面的女主角是不是在JAY的MV里出现过啊?	是非类	是非类
周杰伦和林俊杰谁更厉害!谁更红!	评价类	评价类
一个人可以同时喜欢两个明星吗?	是非类	是非类
飞轮海的孤单摩天轮的歌词是什么	需求类	需求类
谁有JAY的最新单曲啊 给我发下	需求类	需求类
刘德华的地址是什么要具体的?	事实类	事实类
寻找蔡妍的幸福的眼泪歌词?	需求类	需求类
“sorry”的歌词在那里才能找到呢?	需求类	需求类
小猪是谁啊???罗志祥吗???	是非类	事实类
谁有卡农的简谱吖?	需求类	需求类
张韶涵个人网站,博客,论坛是什么?	事实类	事实类
张韶涵的什么歌你最喜欢?	推荐类	推荐类
最近有没有哪个的唱片	枚举类	枚举类
你觉得哪个唱片公司最强大?	推荐类	推荐类
张学友的哪首歌唱的最有味道?	推荐类	推荐类
小虎队成立了几年?	事实类	事实类
"""多爱我一天:""的歌词是什么 啊?"	需求类	需求类
你怎么舍得我难过的歌词是什么.	需求类	事实类
有谁知道怀念过去的歌词	需求类	需求类
谁有这首歌的歌词?如下	需求类	需求类
现在有最新的韩曲吗?	枚举类	推荐类
现在哪些乐队的歌好听啊???	推荐类	推荐类
李宇春的(2009Why me)演唱会都在哪几个城市?	事实类	枚举类
Jay元旦的演唱会在深圳哪里举行的可能性大点?	推荐类	事实类
何洁在哪里开跨年縯唱会?!	事实类	事实类
假如让我说下去的歌词是什么?	需求类	事实类
何炅的专辑在哪里能买到?	需求类	需求类
谁知道何炅现在住在哪?	事实类	事实类
请问周杰伦家在哪	事实类	事实类
jay出道以来你们最喜欢的事哪几首歌`	推荐类	推荐类
BY2组合是属于港台还是属于大陆的?	事实类	是非类
有谁知道吉他谱曲的好点的网站	需求类	推荐类
谁知道新歌(小酒窝)的歌词!!???	需求类	需求类
最让你感动的首情歌是?	推荐类	推荐类
有谁知道 阿姆唱的hellbound的歌词?急	需求类	需求类
今年流行什么歌!谁的歌最受欢迎	推荐类	推荐类
谁能帮我谱一下曲?	需求类	需求类
请问、嗨点、的流行歌、有么	推荐类	推荐类
为什么心情烦躁的时候听听音乐,会感觉到很轻松?	原因类	原因类
"求""即使知道要见面""伴奏下载地址`."	需求类	需求类
一般较好的吉他价位在多少	事实类	事实类
谁能给我推荐一些好看的MV?	推荐类	推荐类
有啥好看的新MV?	推荐类	推荐类
小猪罗志祥出过几张专辑?	事实类	事实类
谁知道在周杰伦的那首《外婆》和杰伦对唱的那女孩是谁?	事实类	事实类
五月天和SHE唱的歌是?	事实类	事实类
谁知道张杰的<化学反应>的视频地址啊?	需求类	需求类
谁能给我VAE多余的解释的歌词?	需求类	需求类
谁能告诉我《安静了》的歌词	需求类	需求类
<那个女孩对我说>歌词是什么?	需求类	事实类
快乐男声每个人的EP里都有哪些歌	枚举类	枚举类
哪有吉他教学视频啊	需求类	需求类
现在市场上一台yamaha的钢琴多少钱?	事实类	事实类
苏醒和陈楚生谁会是冠军?	评价类	评价类
JJ的最新近况是啥?	描述类	描述类
有谁知道炎亚纶家住在哪	事实类	事实类
秀秀几岁进SM公司?	事实类	事实类
sara是那里人?	事实类	事实类
钢琴级别达到多少级可以弹《梦中的婚礼》?	事实类	事实类
周杰伦目前几岁	事实类	事实类
火花 这首歌的歌词是什么	需求类	需求类
QQ音乐列表里的音乐为什么位置变了,有的在上面有的在下面,出错的不多,只有那么几首。有没有可能是我的操作问题,不小心点哪个键了?	原因类	原因类
谁能说下JAY的几张专集的名字?	枚举类	枚举类
谁有至上励合的海报?	需求类	需求类
最新的QQ音乐在哪里上传啊。。	需求类	需求类
《玫瑰花的葬礼》为谁而唱	事实类	事实类
周杰伦和哪些人合唱过?	枚举类	枚举类
中国有什么公司培养艺人	枚举类	枚举类
说说自己喜欢的艺人??	评价类	推荐类
张韶涵和王心凌,更喜欢谁?	评价类	评价类
谁给我说一下黄家驹的海阔天空的歌词	需求类	需求类
你对超女的印象是什么?	评价类	评价类
周杰伦下站演唱会是哪里?	事实类	事实类
想知道一下09年各个人演唱会的时间安排	描述类	枚举类
9月13号的SM家族上海演唱会,SuperJunior是以13个人的形式出现么?	是非类	是非类
周杰伦今年世界巡回演唱会都去什么地方?	事实类	枚举类
Avril最近在哪国开的演唱会?	事实类	事实类
jay在成都开演唱会是哪里主办的?	事实类	事实类
亚洲最红的明星是东方神起吗?	评价类	评价类
所有<飞轮海>的电影或电视剧有哪些?	枚举类	枚举类
潘玮柏多少斤啊??	事实类	事实类
谁知道潘玮柏最近有什么新动态?	枚举类	描述类
周杰伦受欢迎还是刘德华?	评价类	评价类
刘德华的家乡在哪	事实类	事实类
我最喜欢的明星是刘德华,请问刘德华第一张专辑叫什么	事实类	事实类
飞轮海每个人各有多少粉丝	事实类	枚举类
谁知道刘亦菲是哪里人?	事实类	事实类
周杰伦没出名之前他是做什么的?	事实类	事实类
周杰伦唱的歌有多少	事实类	事实类
棒棒堂是3月几号到广州??	事实类	事实类
林俊杰现在有多少钱?	事实类	事实类
金莎和谁最配?	推荐类	推荐类
有没有海豚音的歌曲,,地址?!!	需求类	需求类
谁能帮我做曲.	需求类	需求类
BEYOND你理解吗?	评价类	评价类
周杰伦新专集能在哪个网站上下载	推荐类	需求类
"谁有 ""明天以后"" 的粤语歌词啊?"	需求类	需求类
谁有女声版的伤心情歌	需求类	需求类
林心如拍过什么3J片.?	枚举类	枚举类
东方神起谁长的最像女生	推荐类	推荐类
怎么可以找到QCC里的音乐?	方法类	方法类
JAY今年多少岁勒?!	事实类	事实类
金沙和林俊杰合作的新单曲叫什么?	事实类	事实类
歌的旋律在哪找?	需求类	需求类
棒棒堂拍过咩电视剧?	是非类	枚举类
韩庚、基范.比较喜欢哪个?	评价类	评价类
i for you的歌词有吗?	需求类	需求类
艾薇儿有没有拍过电影?	是非类	是非类
中国唱片销量最高的专辑?	事实类	事实类
周杰伦读了几年书啊 ?	事实类	事实类
俞思远什么时候出第四张专辑?	事实类	事实类
谁能给我一下BARBIE GIRL这首歌的歌词?	需求类	需求类
SJ有主持过什么节目?	枚举类	枚举类
super junior的第三辑价钱大约是多少?	事实类	事实类
东方神起究竟是日本还是韩国的?	事实类	事实类
飞轮海捐多少	事实类	事实类
林俊杰的第一部电影叫什么名??	事实类	事实类
你认为杰伦的经典歌词是哪句?	推荐类	推荐类
杰伦《不能说的秘密》不能说的是?	事实类	评价类
至上励合的人都是从哪来的?	事实类	枚举类
请问: 啥叫帅哥.? 啥叫美女.?	评价类	描述类
周杰伦和任贤齐谁帅.?	评价类	评价类
有多少人期待刘德华的游龙戏凤?	事实类	事实类
《火》这首歌是谁唱的?就是天天向上经常放的那首	事实类	事实类
怎样才能听到更好听的歌曲?	方法类	方法类
羽泉是哪里人?	事实类	事实类
谁有蔡妍两个人的中文版?	需求类	需求类
请问蔡妍是那里人	事实类	事实类
哪里有 我就是非主流 这首歌的歌词	需求类	需求类
什么牌子的电贝司好	推荐类	推荐类
(即使知道要见面) 的歌曲谁知道?	需求类	事实类
金城武是哪里的?	事实类	事实类
唱北京欢迎你这歌共有多少歌手???	事实类	事实类
周杰伦和刘德华谁才是天王?	评价类	评价类
小沈阳年龄多大?	事实类	事实类
08年BOBO都拿了哪些奖??	枚举类	枚举类
乔任梁总共得过些什么奖?	枚举类	枚举类
Vae 许嵩唱的<有何不可>是为哪个唱的?	事实类	事实类
JAY,爲哪些歌手写过歌,,?	事实类	枚举类
JAY的哪场演唱会最经典?	推荐类	推荐类
杜德伟从出道到现在都在什么地方举办过演唱会	枚举类	枚举类
当歌手需要的是什么?	事实类	评价类
蔡旻佑-双截棍抒情版 谁能传给我?QQ114561875	需求类	需求类
世界上最难听的歌出了没?	是非类	是非类
黑涩会的MM有多少个哦?	事实类	事实类
棒棒堂和黑涩会谁更加出名?	评价类	评价类
黑涩会MM谁长的好?	评价类	推荐类
黑涩会美眉有多少成员?	事实类	事实类
韩庚的组合叫什么?	事实类	事实类
韩庚在那个组合?	事实类	事实类
韩庚是韩国哪里的?	事实类	事实类
最近有没有棒棒堂的演出?	是非类	是非类
请问棒棒堂一军有几个人?	事实类	事实类
王子和毛弟一起参加淘汰赛是哪一期?	事实类	事实类
谁有仁的弟弟的照片呀?	需求类	需求类
李连杰出生在哪?	事实类	事实类
09央视春晚哪里去了?	需求类	事实类
周杰伦2009年新电影的名字叫什么?	事实类	事实类
马天宇是哪个选秀比赛出来的?	事实类	事实类
为什么有人喜欢张杰,有人喜欢魏晨?	评价类	原因类
有多少喜欢魏晨的朋友呢	事实类	事实类
中国有多少中乐器?	事实类	事实类
那个网站看现场山寨春晚?	推荐类	需求类
韩庚带给我的是什么?	评价类	评价类
SJ里的韩庚哪最帅?	推荐类	推荐类
beyond的专辑有哪些?要全部的。谢谢!	枚举类	枚举类
张佑赫还有一个歌跟《不落的太阳》可像,叫什么?	事实类	事实类
周笔畅多大啊?	事实类	事实类
能说一下vae的所有原创单曲吗?	枚举类	枚举类
谁有很high的DJ音乐	推荐类	推荐类
在见在也不见是哪首歌的歌词啊????	需求类	事实类
萧亚轩最近有新歌吗?	是非类	是非类
组合js的图片谁有?	需求类	需求类
the one。 SS501的URL?	需求类	需求类
张韶涵出道了几年?	事实类	事实类
三只的最新专辑大概几时候出来啊?	事实类	事实类
刘德华最进做了什么	描述类	描述类
林俊杰最近会出现在哪里?	事实类	事实类
杨丞林的歌曲好听吗???	评价类	评价类
谁有五月天的阿信的详细介绍啊	描述类	描述类
今年张学友到过哪些地方开演唱会?	枚举类	枚举类
贝多芬出生在哪?	事实类	事实类
VAE的专集《自定义》在哪里能买到?	需求类	需求类
周杰伦和林俊杰谁的声音好听?	评价类	评价类
喜欢一个明星真的会痛苦吗?	评价类	评价类
有谁知道罗志祥的《我不会唱歌》的伴奏哪有下吗?	需求类	需求类
说好的幸福呢MV里那女的有知道么?	事实类	事实类
梁静茹哪首歌是周杰伦写的?	事实类	事实类
谁有张娜拉歌曲的歌词?(随便一首都行)	需求类	需求类
你认为滨崎步最经典的MV是?	推荐类	推荐类
Twins几时复出?	事实类	事实类
搜索简谱要去哪个网站	需求类	推荐类
周杰伦08最新专辑几月份发行	事实类	事实类
张韶涵几岁	事实类	事实类
JAY九张专辑每张的主打歌分别是哪首 ?	枚举类	枚举类
陈楚生开的是什么车?	事实类	事实类
张学友的歌的魅力在哪?	评价类	评价类
谁知道不要说再见的歌词?	需求类	需求类
谁能给我 占有 的歌词	需求类	需求类
音乐中的混音是什么?	描述类	描述类
谁有JAY新专辑的所有歌词?	需求类	需求类
爱向着我来的那一天的歌词是什么?	需求类	事实类
《豪杰春香》的<有必要不好意思吗>中文意思	描述类	描述类
有首歌的歌词是 (女:啊~啊~啊~) 知道是谁唱的?	事实类	事实类
我想牵着你的手的歌词?	需求类	事实类
有谁知道旋律死亡的金属乐队名字。,	事实类	事实类
今夜你会不会来,你的爱还在不在?一个女的唱的,歌的名字是什么啊?	事实类	事实类
谁有零壹乐队李小龙MP3!能否分享!!!	需求类	需求类
东方神起 和SJ 的演唱会 你会去哪一个呢 ?? (选一个)	评价类	评价类
湖南卫视初一至初五中哪天早上几点播张杰的演唱会	事实类	事实类
蔡依林的演唱会有过什么名字	枚举类	枚举类
C.K和光光合唱的《伤心的歌》的歌词?	需求类	事实类
谁有周董的帅照片?	需求类	需求类
东方神起中每个人的生日是多少?	枚举类	枚举类
东方神起的家庭成员为多少人?	事实类	事实类
北京哪里有东方神起代言的店,或者是有卖他们很多东西的地方?	需求类	需求类
在哪里最有可能遇到东方神起其中的一位?	推荐类	推荐类
周杰伦本人属于哪种类型?	评价类	描述类
王力宏和周杰伦到底谁更大牌	评价类	评价类
郑源在哪年是最红的呀?	事实类	事实类
谁有林俊杰歌迷群?	需求类	需求类
周杰伦的英文名是什么?(是他歌迷就一定要回答哦我也是他歌迷)	事实类	事实类
谁能帮我找到这首歌的歌词?歌名叫我们都在怀念过去	需求类	需求类
小情歌的歌词谁有?	需求类	需求类
为什么 查不到 《发现》 路绮欧 的这首歌呢?	原因类	原因类
学吉他的网站谁有可以介绍一个吗	需求类	推荐类
有什么吉他速成的办法	方法类	方法类
什么样的歌曲才听不腻	推荐类	描述类
有谁推荐一款好的录歌的软件?	推荐类	推荐类
"谁有""为什么会喜欢上你""的歌词(中文版)?"	需求类	需求类
谁有好的歌介绍两个?	推荐类	推荐类
周杰伦的快歌听起来很有节奏感,为什么有些人不喜欢听?	原因类	原因类
音乐的魅力在哪里?	评价类	评价类
有谁有简单的琴谱?	需求类	需求类
谁有吉他的乐谱谢谢	需求类	需求类
谁能帮我这个五线谱翻译成简谱?	需求类	需求类
哪个网站的小提琴谱又多又全?	需求类	推荐类
6根弦的是什么?这很简单,对吧!!!!!	事实类	枚举类
2岁的小孩适合练小提琴么???	是非类	评价类
谁知道《我最闪亮》的曲谱??!	需求类	需求类
钢琴849是几级的水平?	事实类	事实类
是怎么样才知道最近流行的歌曲?	方法类	方法类
李宇春与陈楚生合唱的<<深深的祝福>>歌词?	需求类	事实类
SM公司的人最小要几岁的??	事实类	事实类
最简单的吉他入门书谁知道哪有,要最基础的	需求类	需求类
现在明星一般都是用什么风格的吉他啊?	事实类	事实类
买吉他需要注意哪些问题?	描述类	描述类
吉他要学多找时间才能熟练的弹出一首的曲子啊?	事实类	事实类
我想知道 爱乐团 天涯 的歌词急 知道的请告诉我 谢谢	需求类	需求类
周杰伦什么时候能找到自己的另一半呢	评价类	评价类
QQ音乐播放器的歌曲在我的电脑那里?	事实类	方法类
周杰伦还有多少人气?	事实类	评价类
福州哪里有卖至上励合的贴纸海报或EP	需求类	需求类
类似飞向别人的床的歌?	推荐类	推荐类
谁知道明道的作品啊!!	枚举类	枚举类
谢霆锋的任意一个专集名?	枚举类	枚举类
谁告诉我〈婚礼〉插曲〈别离开〉的歌词啊???	需求类	需求类
有哪些MV是张杰和谢娜一起的?	枚举类	枚举类
东方神起跟飞轮海比,哪个更受欢迎。	评价类	评价类
黄家驹演唱会在哪?	事实类	事实类
周杰伦何时再出专集?	事实类	事实类
周杰伦有几部专集	事实类	事实类
刘德华的歌有多少专集```	事实类	事实类
喜欢杰伦的朋友.你们最喜欢那一个专集?	推荐类	推荐类
最近有多少人听了何洁的新专辑?	事实类	事实类
张靓颖和何洁,你们喜欢谁?	评价类	评价类
李贞贤是哪里的人?韩国的吗?	事实类	事实类
家驹为什么能写出这么经典的歌??	原因类	原因类
不知道神起的哥哥们最近常在哪里?	事实类	事实类
南宁哪里有卖11.25SJ-M演唱会的票?急~~~~	需求类	需求类
潘玮柏进期将在那举行演唱会?	事实类	事实类
在你心中是否爱BEYOND依然???	评价类	评价类
‘17号-但是梦只会更远’ 这首歌曲是不是有苏打绿青峰的演唱啊(结尾部分)?	是非类	是非类
东方神起谁喜欢啊,喜欢哪个人啊?	推荐类	推荐类
东方神起,谁知道他们的名字呢	枚举类	枚举类
谁能给我东方神起的手机铃声?	需求类	需求类
潘玮柏多少岁拉?	事实类	事实类
你们谁知道潘玮柏啊?	描述类	描述类
有人喜欢李小龙么?	评价类	评价类
sj-M和至上励合,你喜欢谁?	评价类	评价类
刘亦菲的粉丝都叫“小包子”吗?	是非类	是非类
谁有SJ的歌曲的乐谱?	需求类	需求类
谁有周杰伦(JAY)的图片?	需求类	需求类
飞轮海和棒棒堂你比较看好哪个?	评价类	评价类
山野的家乡在哪里?	事实类	事实类
谁有比较清新的歌啊?	推荐类	推荐类
有谁能介绍自己喜欢的歌让我也分享下吗??	推荐类	推荐类
有谁知道《蓝调江南》这本书	是非类	事实类
谁有无法证明不是粤语的歌词	需求类	需求类
杨丞琳和潘玮柏拍的电影是什么	事实类	事实类
张韶涵和杨丞琳,你们更支持谁?	评价类	评价类
谁知道张杰的网站?	事实类	需求类
周杰伦的专辑多少钱啊?	事实类	事实类
在哪可以听到东方神起的《你为什么会喜欢我》	需求类	需求类
一把好的电吉他多少钱呢?	事实类	事实类
艾薇儿有没有演过电影?	是非类	是非类
jay的新专集会突破销量最高记录吗?	是非类	是非类
刘德华销量最好的是哪个专辑?	事实类	事实类
周杰伦那首歌的歌词最长???	事实类	事实类
为什么南拳妈妈会有这样的名字?	原因类	原因类
周杰伦适合什么样的女生~	评价类	评价类
四手连弹的曲子单手能弹得出来吗?	是非类	是非类
谁有 “爱的翅膀”的钢琴谱吖。	需求类	需求类
有没有人和我练一样的钢琴曲?	是非类	推荐类
谁有激情的钢琴曲啊!	推荐类	推荐类
林俊杰啥时还出专辑?	事实类	事实类
林俊杰现在捐了多少钱了	事实类	事实类
王力宏是哪个大学毕业的?	事实类	事实类
杰伦明天就出新专辑了,有什么想法拉???	评价类	评价类
谁知道杰伦的专辑?知道的Q我!	事实类	事实类
至上励合在哪开过演唱会嘿?~	枚举类	枚举类
怎么看一些吉他谱子,比如《加洲旅馆》	方法类	方法类
任贤齐的歌一共有几首呢	事实类	事实类
最悲伤的旋律,最伤感的音乐?谁有?	推荐类	推荐类
刘德华最经典的演唱会是那一场啊?	事实类	推荐类
HIT5的歌曲在哪下呀?	需求类	需求类
刘德华会在多大结婚?	事实类	事实类
花儿乐队拿过什么奖?	枚举类	枚举类
哪些网站有较多的纯音乐	需求类	枚举类
谁能给我1个<怎么忽然就成了这样>这首歌的完整歌词么?	需求类	需求类
最后一句歌词是:管风里是谁...女歌手粤语唱的是什么歌?	事实类	事实类
BEYOND是多少年解散的?	事实类	事实类
黑涩会MM制服是多长的?	事实类	事实类
黑涩会美眉和棒棒堂分别有几个人	枚举类	枚举类
韩庚是哪国人阿?	事实类	事实类
谁有棒棒堂第一次演唱会的视频	需求类	需求类
歌坛有没有比周杰伦好的歌手?	评价类	推荐类
张杰是几岁学跳舞的啊???	事实类	事实类
张杰的专辑《明天过后》中哪几首拍了MV啊?	枚举类	枚举类
李连杰是哪一年进的好莱呜的?	事实类	事实类
春晚有多少偶像明星	枚举类	枚举类
元旦晚会,大家有什么好的建议吗?	评价类	评价类
09年春节晚会有那些精彩的节目?	推荐类	枚举类
东方卫视2009元宵晚会时间?	事实类	事实类
马天宇的签售地址,知道的告诉我~~	需求类	事实类
至上励合所参加的综艺节目有哪些?	枚举类	枚举类
体积最小的乐器是什么乐器?	事实类	事实类
《爱情和战争》中开头的是什么乐器?	事实类	事实类
相信爱中共有多少位明星?	事实类	事实类
在SM里有多少明星	事实类	事实类
明星会玩游戏吗?	是非类	是非类
怎么样才算是合格的明星?	评价类	描述类
周杰伦哪个时候才走红的?	事实类	事实类
男星女星人气排行?	推荐类	推荐类
棒棒堂的生日各是多少?	枚举类	枚举类
阿娇住在哪?	事实类	事实类
神起5只的生日各是多少?	事实类	枚举类
林志颖有哪里电影?	枚举类	枚举类
britney的新单曲叫什么?	事实类	事实类
东方神起反转剧哪有下~不要迅雷的下载``下不了```	需求类	需求类
唐禹哲新发的专辑叫啥啊?	事实类	事实类
jay专辑是8月初吗?	是非类	是非类
张杰的专辑在哪能买到	推荐类	需求类
有谁知道《无与伦比的美丽》这首歌的歌词!	需求类	需求类
张杰的新专辑《明天过后》9月几日发行	事实类	事实类
刘德华多少年出生	事实类	事实类
林俊杰发过几张专集?	事实类	事实类
周杰伦出的新专集怎么样!	评价类	评价类
释小龙的女朋友叫什么??	事实类	事实类
飞轮海下一站的演唱会是在哪里	事实类	事实类
jay是多少年开一次演唱会?	事实类	事实类
谁知道 大嘴巴 新专辑里 永远在身边 的原曲叫什么?	事实类	事实类
谁能告诉我周杰伦的电话	事实类	事实类
王力宏的新专集里每个MV都讲的什么故事?谢谢哦!	描述类	枚举类
东方神起都有几盘专集	事实类	枚举类
你们喜欢那个明星呢.和我一样吗?	推荐类	推荐类
明星到底靠的是什么?	描述类	评价类
在什么网可以设计免费的明星签名?	评价类	需求类
